"Location","year","forst_ha_buff100","forst_ha_buff200","forst_ha_buff20","forst_ha_buff300","forst_ha_buff50","diff_ha_forst_20k_1yr","diff_ha_forst_20k_2yr","diff_ha_forst_20k_3yr","diff_ha_forst_20k_4yr","diff_ha_forst_20k_5yr","diff_ha_forst_50k_1yr","diff_ha_forst_50k_2yr","diff_ha_forst_50k_3yr","diff_ha_forst_50k_4yr","diff_ha_forst_50k_5yr","diff_ha_forst_100k_1yr","diff_ha_forst_100k_2yr","diff_ha_forst_100k_3yr","diff_ha_forst_100k_4yr","diff_ha_forst_100k_5yr","diff_ha_forst_200k_1yr","diff_ha_forst_200k_2yr","diff_ha_forst_200k_3yr","diff_ha_forst_200k_4yr","diff_ha_forst_200k_5yr","diff_ha_forst_300k_1yr","diff_ha_forst_300k_2yr","diff_ha_forst_300k_3yr","diff_ha_forst_300k_4yr","diff_ha_forst_300k_5yr","yrfac","spillprd","spillyr"
"Ekata",1998,123548.30874172,777733.184295491,3077728.17942051,11738741.9600545,25395417.5478106,-512.885045513045,-645.855242495425,-474.893560662866,-208.953166686464,-208.953166686464,-39872.0633531213,-40062.0207773671,-28674.0731927156,-13781.4111303277,-13781.4111303277,0,0,0,0,0,0,0,0,0,0,-12964.5942061152,-10485.6498194747,-2298.48483367264,11254.9773876145,11254.9773876145,"1998","Ekata_1998","N"
"Ekata",1999,123548.30874172,777704.690681851,3073824.55435187,11720335.0856433,25364017.5855796,-3903.62506863801,-4416.51011415105,-4549.48031113343,-4378.51862930087,-4112.57823532447,-31399.9622309953,-71272.0255841166,-71461.9830083624,-60074.0354237109,-45181.373361323,0,0,0,0,0,-28.4936136399629,-28.4936136399629,-28.4936136399629,-28.4936136399629,-28.4936136399629,-18406.8744111713,-31371.4686172865,-28892.524230646,-20705.3592448439,-7151.89702355675,"1999","Ekata_1999","N"
"Ekata",2000,123472.325772015,775662.648371006,3066843.61901014,11700570.0156486,25358442.3351774,-6980.93534172839,-10884.5604103664,-11397.4454558794,-11530.4156528618,-11359.4539710293,-5575.25040220097,-36975.2126331963,-76847.2759863175,-77037.2334105633,-65649.2858259119,-75.9829697049863,-75.9829697049863,-75.9829697049863,-75.9829697049863,-75.9829697049863,-2042.04231084499,-2070.53592448495,-2070.53592448495,-2070.53592448495,-2070.53592448495,-19765.0699947383,-38171.9444059096,-51136.5386120249,-48657.5942253843,-40470.4292395823,"2000","Ekata_2000","S"
"Ekata",2001,123842.742749331,775966.58024983,3064516.6405629,11690454.7828065,25376716.2393917,-2326.97844724543,-9307.91378897382,-13211.5388576118,-13724.4239031249,-13857.3941001073,18273.9042142816,12698.6538120806,-18701.3084189147,-58573.371772036,-58763.3291962817,370.416977315996,294.434007611009,294.434007611009,294.434007611009,294.434007611009,303.931878823903,-1738.11043202109,-1766.60404566105,-1766.60404566105,-1766.60404566105,-10115.2328421082,-29880.3028368466,-48287.1772480179,-61251.7714541331,-58772.8270674925,"2001","Ekata_2001","N"
"Ekata",2002,123842.742749331,775966.58024983,3064222.20655529,11685715.345071,25368975.4743529,-294.434007603209,-2621.41245484864,-9602.34779657703,-13505.972865215,-14018.8579107281,-7740.76503878832,10533.1391754933,4957.8887732923,-26442.073457703,-66314.1368108243,0,370.416977315996,294.434007611009,294.434007611009,294.434007611009,0,303.931878823903,-1738.11043202109,-1766.60404566105,-1766.60404566105,-4739.43773546629,-14854.6705775745,-34619.7405723128,-53026.6149834841,-65991.2091895994,"2002","Ekata_2002","N"
"Ekata",2003,123842.742749331,776137.541931668,3064013.2533886,11685620.3663589,25373743.4057019,-208.953166689258,-503.387174292468,-2830.3656215379,-9811.30096326629,-13714.9260319043,4767.9313490428,-2972.83368974552,15301.0705245361,9725.82012233511,-21674.1421086602,0,0,370.416977315996,294.434007611009,294.434007611009,170.961681838031,170.961681838031,474.893560661934,-1567.14875018306,-1595.64236382302,-94.9787121135741,-4834.41644757986,-14949.6492896881,-34714.7192844264,-53121.5936955977,"2003","Ekata_2003","N"
"Ekata",2004,123842.742749331,776308.503613506,3064155.72145679,11683901.2516693,25380781.328271,142.468068189919,-66.4850984993391,-360.919106102549,-2687.89755334798,-9668.83289507637,7037.92256906256,11805.8539181054,4065.08887931705,22338.9930935986,16763.7426913977,0,0,0,370.416977315996,294.434007611009,170.961681838031,341.923363676062,341.923363676062,645.855242499965,-1396.18706834503,-1719.11468955129,-1814.09340166487,-6553.53113713115,-16668.7639792394,-36433.8339739777,"2004","Ekata_2004","N"
"Ekata",2005,123956.717203889,776507.958908984,3064545.13417654,11684366.6473587,25381930.5706878,389.412719747052,531.880787936971,322.927621247713,28.4936136445031,-2298.48483360093,1149.24241674691,8187.16498580948,12955.0963348523,5214.33129606396,23488.2355103455,113.974454558003,113.974454558003,113.974454558003,113.974454558003,484.391431873999,199.455295477994,370.416977316025,541.378659154056,541.378659154056,845.310537977959,465.395689392462,-1253.71900015883,-1348.69771227241,-6088.13544773869,-16203.3682898469,"2005","Ekata_2005","N"
"Ekata",2006,124108.683143301,777239.294992403,3065247.97664632,11684072.2133511,25382965.83865,702.842469779775,1092.25518952683,1234.72325771675,1025.77009102749,731.336083424278,1035.26796221733,2184.51037896425,9222.43294802681,13990.3642970696,6249.59925828129,151.965939411995,265.940393969999,265.940393969999,265.940393969999,265.940393969999,731.336083419039,930.791378897033,1101.75306073506,1272.71474257309,1272.71474257309,-294.434007603675,170.961681788787,-1548.15300776251,-1643.13171987608,-6382.56945534237,"2006","Ekata_2006","N"
"Ekata",2007,124108.683143301,777182.307765124,3065209.98516146,11682666.5284116,25388864.0166734,-37.9914848566987,664.850984923076,1054.26370467013,1196.73177286005,987.778606170788,5898.17802346125,6933.44598567858,8082.6884024255,15120.6109714881,19888.5423205309,0,151.965939411995,265.940393969999,265.940393969999,265.940393969999,-56.9872272789944,674.348856140045,873.804151618038,1044.76583345607,1215.7275152941,-1405.68493948877,-1700.11894709244,-1234.72325769998,-2953.83794725128,-3048.81665936485,"2007","Ekata_2007","N"
