"Location","buffer","Description","Value","year","cumsum_diff_pland","year_fac","color"
"Bikoro","100","Tree cover, broadleaved, deciduous, open (15-40%)",62,1992,NA,"1991_1992","#AAC800"
"Boende","100","Tree cover, broadleaved, deciduous, open (15-40%)",62,1992,NA,"1991_1992","#AAC800"
"Kikwit","100","Tree cover, broadleaved, deciduous, open (15-40%)",62,1992,NA,"1991_1992","#AAC800"
"Likati","100","Tree cover, broadleaved, deciduous, open (15-40%)",62,1992,NA,"1991_1992","#AAC800"
"Luebo","100","Tree cover, broadleaved, deciduous, open (15-40%)",62,1992,NA,"1991_1992","#AAC800"
"Mbandaka","100","Tree cover, broadleaved, deciduous, open (15-40%)",62,1992,NA,"1991_1992","#AAC800"
"NKivu","100","Tree cover, broadleaved, deciduous, open (15-40%)",62,1992,NA,"1991_1992","#AAC800"
"Bikoro","100","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,1992,NA,"1991_1992","#006400"
"Boende","100","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,1992,NA,"1991_1992","#006400"
"Kikwit","100","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,1992,NA,"1991_1992","#006400"
"Likati","100","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,1992,NA,"1991_1992","#006400"
"Luebo","100","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,1992,NA,"1991_1992","#006400"
"Mbandaka","100","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,1992,NA,"1991_1992","#006400"
"NKivu","100","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,1992,NA,"1991_1992","#006400"
"Bikoro","100","Tree cover, flooded, fresh or brackish water",160,1992,NA,"1991_1992","#00785A"
"Boende","100","Tree cover, flooded, fresh or brackish water",160,1992,NA,"1991_1992","#00785A"
"Kikwit","100","Tree cover, flooded, fresh or brackish water",160,1992,NA,"1991_1992","#00785A"
"Likati","100","Tree cover, flooded, fresh or brackish water",160,1992,NA,"1991_1992","#00785A"
"Luebo","100","Tree cover, flooded, fresh or brackish water",160,1992,NA,"1991_1992","#00785A"
"Mbandaka","100","Tree cover, flooded, fresh or brackish water",160,1992,NA,"1991_1992","#00785A"
"NKivu","100","Tree cover, flooded, fresh or brackish water",160,1992,NA,"1991_1992","#00785A"
"Bikoro","100","Tree cover, flooded, saline water",170,1992,NA,"1991_1992","#009678"
"Boende","100","Tree cover, flooded, saline water",170,1992,NA,"1991_1992","#009678"
"Kikwit","100","Tree cover, flooded, saline water",170,1992,NA,"1991_1992","#009678"
"Likati","100","Tree cover, flooded, saline water",170,1992,NA,"1991_1992","#009678"
"Luebo","100","Tree cover, flooded, saline water",170,1992,NA,"1991_1992","#009678"
"Mbandaka","100","Tree cover, flooded, saline water",170,1992,NA,"1991_1992","#009678"
"NKivu","100","Tree cover, flooded, saline water",170,1992,NA,"1991_1992","#009678"
"Boende","100","Tree or shrub cover",12,1992,NA,"1991_1992","#FFFF00"
"Likati","100","Tree or shrub cover",12,1992,NA,"1991_1992","#FFFF00"
"Bikoro","100","Urban areas",190,1992,NA,"1991_1992","#C31400"
"Boende","100","Urban areas",190,1992,NA,"1991_1992","#C31400"
"Kikwit","100","Urban areas",190,1992,NA,"1991_1992","#C31400"
"Likati","100","Urban areas",190,1992,NA,"1991_1992","#C31400"
"Luebo","100","Urban areas",190,1992,NA,"1991_1992","#C31400"
"Mbandaka","100","Urban areas",190,1992,NA,"1991_1992","#C31400"
"NKivu","100","Urban areas",190,1992,NA,"1991_1992","#C31400"
"Bikoro","100","Water bodies",210,1992,NA,"1991_1992","#0046C8"
"Boende","100","Water bodies",210,1992,NA,"1991_1992","#0046C8"
"Kikwit","100","Water bodies",210,1992,NA,"1991_1992","#0046C8"
"Likati","100","Water bodies",210,1992,NA,"1991_1992","#0046C8"
"Luebo","100","Water bodies",210,1992,NA,"1991_1992","#0046C8"
"Mbandaka","100","Water bodies",210,1992,NA,"1991_1992","#0046C8"
"NKivu","100","Water bodies",210,1992,NA,"1991_1992","#0046C8"
"Bikoro","200","Bare areas",200,1992,NA,"1991_1992","#FFF5D7"
"Boende","200","Bare areas",200,1992,NA,"1991_1992","#FFF5D7"
"Kikwit","200","Bare areas",200,1992,NA,"1991_1992","#FFF5D7"
"Likati","200","Bare areas",200,1992,NA,"1991_1992","#FFF5D7"
"Mbandaka","200","Bare areas",200,1992,NA,"1991_1992","#FFF5D7"
"NKivu","200","Bare areas",200,1992,NA,"1991_1992","#FFF5D7"
"NKivu","200","Consolidated bare areas",201,1992,NA,"1991_1992","grey82"
"Kikwit","200","Cropland, irrigated or post-flooding",20,1992,NA,"1991_1992","#AAF0F0"
"Likati","200","Cropland, irrigated or post-flooding",20,1992,NA,"1991_1992","#AAF0F0"
"Luebo","200","Cropland, irrigated or post-flooding",20,1992,NA,"1991_1992","#AAF0F0"
"NKivu","200","Cropland, irrigated or post-flooding",20,1992,NA,"1991_1992","#AAF0F0"
"Bikoro","200","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Boende","200","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Kikwit","200","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Likati","200","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Luebo","200","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Mbandaka","200","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"NKivu","200","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Kikwit","200","Decidiuous shrubland",122,1992,NA,"1991_1992","#966400"
"Luebo","200","Decidiuous shrubland",122,1992,NA,"1991_1992","#966400"
"NKivu","200","Decidiuous shrubland",122,1992,NA,"1991_1992","#966400"
