"Location","yrfac","buffer","year","forest_sum_ha","total","pct_buff"
"NKivu","1994","20",1994,38753.1362153267,753691.509481905,5.14177693761815
"NKivu","1994","200",1994,7594636.37148094,75398614.7296953,10.0726470886869
"NKivu","1994","200",1994,7594636.37148094,75398614.7296954,10.0726470886869
"NKivu","1994","300",1994,16076966.5185531,169645273.176965,9.47681371692711
"NKivu","1994","50",1994,441880.736031722,4712438.35368991,9.37690220787128
"NKivu","1995","100",1995,2050240.37046248,18849297.4955101,10.8770121058933
"NKivu","1995","20",1995,32199.2970024406,753691.509481905,4.27221172022684
"NKivu","1995","200",1995,7532270.41746382,75398614.7296954,9.9899321021574
"NKivu","1995","200",1995,7532270.41746382,75398614.7296953,9.98993210215741
"NKivu","1995","300",1995,15952177.6206127,169645273.176965,9.4032549931245
"NKivu","1995","50",1995,419179.756729117,4712438.35368992,8.89517751252686
"NKivu","1996","100",1996,2038158.51034829,18849297.4955101,10.8129149684957
"NKivu","1996","20",1996,27117.6970330289,753691.509481905,3.59798361688721
"NKivu","1996","200",1996,7514024.14916244,75398614.7296953,9.96573236272348
"NKivu","1996","300",1996,15928944.7355189,169645273.176965,9.38956001379575
"NKivu","1996","50",1996,410118.361643474,4712438.35368992,8.70289075128897
"NKivu","1997","100",1997,2023531.10109054,18849297.4955101,10.735313088313
"NKivu","1997","20",1997,24486.6630301746,753691.509481905,3.24889729048519
"NKivu","1997","200",1997,7493070.8603166,75398614.7296953,9.93794234440424
"NKivu","1997","200",1997,7493070.8603166,75398614.7296951,9.93794234440427
"NKivu","1997","300",1997,15894703.3002109,169645273.176964,9.36937587623234
"NKivu","1997","50",1997,404428.869341273,4712438.35368992,8.58215723977797
"NKivu","1998","100",1998,1988054.88448166,18849297.4955101,10.5471033334543
"NKivu","1998","20",1998,21333.2215538294,753691.509481905,2.83049779458097
"NKivu","1998","200",1998,7446700.07330601,75398614.7296953,9.87644149697245
"NKivu","1998","300",1998,15810766.6666975,169645273.176965,9.31989814429109
"NKivu","1998","50",1998,390295.372603918,4712438.35368992,8.28223826627484
"NKivu","1999","100",1999,1968982.26254039,18849297.4955101,10.445918544229
"NKivu","1999","20",1999,20430.881372345,753691.509481904,2.71077504725898
"NKivu","1999","20",1999,20430.881372345,753691.509481905,2.71077504725898
"NKivu","1999","200",1999,7406113.76177462,75398614.7296953,9.82261250863242
"NKivu","1999","200",1999,7406113.76177462,75398614.7296954,9.82261250863241
"NKivu","1999","300",1999,15727884.3464488,169645273.176964,9.27104189342332
"NKivu","1999","50",1999,384415.913947721,4712438.35368992,8.15747358576514
"NKivu","2000","100",2000,1962969.82743639,18849297.4955101,10.414021148024
"NKivu","2000","20",2000,19813.4907218557,753691.509481904,2.62885948330183
"NKivu","2000","20",2000,19813.4907218557,753691.509481905,2.62885948330182
"NKivu","2000","200",2000,7399616.91246793,75398614.7296953,9.81399583930769
"NKivu","2000","300",2000,15651783.8250376,169645273.176964,9.22618327756802
"NKivu","2000","50",2000,381243.475835976,4712438.35368992,8.09015306348688
"NKivu","2001","100",2001,1933449.0560253,18849297.4955101,10.2574064443826
"NKivu","2001","20",2001,15558.2443923296,753691.509481905,2.06427221172022
"NKivu","2001","20",2001,15558.2443923296,753691.509481904,2.06427221172022
"NKivu","2001","200",2001,7348079.04062862,75398614.7296953,9.74564196831938
"NKivu","2001","300",2001,15516138.3499663,169645273.176964,9.14622497838817
"NKivu","2001","50",2001,365267.305464853,4712438.35368993,7.75113175069636
"NKivu","2001","50",2001,365267.305464853,4712438.35368992,7.75113175069637
